priority_rank,optimization_priority,kernel_id,name,kernel_category,device_kernel_name,duration_us,gpu_pct,call_count,bound_type,arithmetic_intensity,efficiency_percent,compute_utilization_pct,bandwidth_utilization_pct,roofline_source,roofline_measured,reusable_native_kernel,source_file,source_type,recommended_backends,benchmark_files_count,skip_reason,representative_shape,input_dtypes,shape_provenance,suggestion
1,93.7102,k001,vllm::all_reduce,Others,_ZN5aiter26cross_device_reduce_2stageIDF16bLi8ELb0EEEvPNS_8RankDataES2_NS_11RankSignalsEPNS_6SignalEPT_ii,8512128.556,93.7102,2512,—,,0.0,,,placeholder,False,True,,python,forge;geak,0,source file not resolved,"(16,6144) bf16",c10::BFloat16;,torch_trace,Profile the kernel for tile size and wave occupancy.
2,0.8872,k002,aiter::ck_moe_stage1,MoE,"void ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::Colum",80591.12,0.8872,1200,—,,0.0,,,placeholder,False,False,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/ck_gemm_moe_2stages_codegen/gemm_moe_ck2stages.cu,hip_cpp,,0,source file not resolved,"(16,6144)<br>(256,512,6144)<br>(256,6144,256)<br>(4216,) i32<br>(264,) i32<br>(2,) i32<br>(2048,512) fp32<br>(256,4,48) fp32<br>(16,48) fp32",c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;int;int;int;float;Scalar;;float;float;Scalar;;Scalar;Scalar;Scalar;Scalar;;Scalar,torch_trace,Optimize expert GEMM and routing; fuse gate/up projections.
3,0.614,k003,aiter::dynamic_per_token_scaled_quant,Quantization,_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii,55772.769,0.614,9888,memory_bound,0.3338,0.005,0.005,1.978,analytical,False,True,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/kernels/quant_kernels.cu,hip_cpp,forge;geak,0,,"(16,6144)<br>(768,128) bf16<br>(16,48) fp32",c10::Float8_e4m3fnuz;c10::BFloat16;float;;Scalar;;Scalar,torch_trace,Memory-bound: Fuse quantization into the adjacent GEMM epilogue and drop redundant per-tensor scaling passes.
4,0.4972,k004,aiter::ck_moe_stage2,MoE,"void ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::Colum",45165.915,0.4972,1200,—,,0.0,,,placeholder,False,False,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/ck_gemm_moe_2stages_codegen/gemm_moe_ck2stages.cu,hip_cpp,,0,source file not resolved,"(16,8,256)<br>(256,512,6144)<br>(256,6144,256)<br>(4216,) i32<br>(264,) i32<br>(2,) i32<br>(16,6144) bf16<br>(256,48,2) fp32<br>(16,8,2) fp32<br>(4216,) fp32",c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;int;int;int;c10::BFloat16;Scalar;;float;float;Scalar;float;Scalar;Scalar;Scalar;Scalar;;Scalar,torch_trace,Optimize expert GEMM and routing; fuse gate/up projections.
5,0.3488,k005,_C::top_k_per_row_decode,Others,"void vllm::topKPerRowDecode<512, true, false, false>(float const*, int const*, int*, int, int, int, int, int, float*, in",31679.87,0.3488,1248,—,,0.0,,,placeholder,False,False,,unknown,,0,source file not resolved,"(16,12288) fp32<br>(16,1) i32<br>(16,2048) i32",float;Scalar;int;int;Scalar;Scalar;Scalar;Scalar,torch_trace,Profile the kernel for tile size and wave occupancy.
6,0.3167,k006,vllm::rocm_aiter_sparse_attn_indexer,Others,_gluon_deepgemm_fp8_paged_mqa_logits,28765.497,0.3167,1248,—,,0.0,,,placeholder,False,False,/usr/local/lib/python3.12/dist-packages/vllm/v1/attention/ops/triton_fp8_mqa_logits.py,python,,0,source file not resolved,"(16,6144) bf16<br>(1140445,1,132)<br>(16,32,128)<br>(16,128) bf16<br>(16,32) fp32<br>(8192,2048) i32",c10::BFloat16;;unsigned char;c10::Float8_e4m3fnuz;c10::BFloat16;float;Scalar;;Scalar;Scalar;Scalar;Scalar;int;Scalar,torch_trace,Profile the kernel for tile size and wave occupancy.
10,0.1587,k007,aiter::gemm_a8w8_blockscale_ck,GEMM,"void ck::kernel_gemm_xdl_cshuffle_v3<ck::GridwiseGemmMultiD_ABScale_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, c",18672.456,0.2056,2496,memory_bound,15.9171,22.807,22.807,100.0,analytical,False,False,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/ck_gemm_a8w8_blockscale/gemm_a8w8_blockscale.cu,hip_cpp,,0,source file not resolved,"(16,6144)<br>(2624,6144)<br>(16,48) fp32<br>(21,48) fp32<br>(16,2624) bf16",c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;float;float;c10::BFloat16;Scalar;,torch_trace,Memory-bound: Tune GEMM tile size / precision and fuse the epilogue where possible; vendor-library GEMMs (Tensile/rocBLAS) are not rewritable — tune via library config.
7,0.1927,k008,aiter::mla_decode_stage1_asm_fwd,Others,aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps,17499.648,0.1927,1248,—,,0.0,,,placeholder,False,True,,hip_cpp,forge;geak,0,source file not resolved,"(16,16,576)<br>(1140445,1,1,576)<br>(17,) i32<br>(17,) i32<br>(32768,) i32<br>(16,) i32<br>(2,)<br>(305,) i32<br>(8495,8) i32<br>(606,1,16,512) fp32<br>(606,1,16,1) fp32<br>(16,16,512) bf16",c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;int;int;int;int;;long unsigned int;int;int;Scalar;Scalar;Scalar;Scalar;float;float;c10::BFloat16;;float;float;;Scalar;Scalar;;Scalar,torch_trace,Profile the kernel for tile size and wave occupancy.
8,0.1639,k009,aiter::moe_sorting_opus_fwd,MoE,"void aiter::opus_moe_sorting_entry<aiter::MoeSortingKernel<aiter::MoeSortingProblemEx<int, float, 2, true, false, false,",14891.657,0.1639,1200,—,,0.0,,,placeholder,False,True,,hip_cpp,forge;geak,0,source file not resolved,"(16,8) i32<br>(16,8) fp32<br>(4216,) i32<br>(4216,) fp32<br>(264,) i32<br>(2,) i32<br>(16,6144) bf16",int;float;int;float;int;int;c10::BFloat16;Scalar;Scalar;;;;Scalar;;;,torch_trace,Optimize expert GEMM and routing; fuse gate/up projections.
9,0.1627,k010,_C::fused_add_rms_norm,Normalization,"std::enable_if<(((8)>(0)))&&_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat",14777.278,0.1627,2496,memory_bound,0.3367,0.005,0.005,1.919,analytical,False,True,,unknown,forge;geak,0,source file not resolved,"(16,6144) bf16<br>(16,6144) bf16<br>(6144,) bf16",c10::BFloat16;c10::BFloat16;c10::BFloat16;Scalar,torch_trace,Memory-bound: Use a fused RMSNorm/LayerNorm and fold the residual/quant into the norm kernel.
11,0.1563,k011,_C::rotary_embedding,Elementwise,"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, false>(long const*, c10::BFloat16*, c10::BFloat16*, c10",14243.183,0.1568,2496,memory_bound,0.2501,0.321,0.321,100.0,analytical,False,False,,unknown,,0,source file not resolved,"(16,)<br>(16,8,64) bf16<br>(16,1,64) bf16<br>(202752,64) bf16",long int;c10::BFloat16;c10::BFloat16;Scalar;c10::BFloat16;Scalar;Scalar;Scalar,torch_trace,Memory-bound: Fuse elementwise chains to cut intermediate memory traffic.
12,0.153,k012,_C::rms_norm,Normalization,"void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true>(c10::BFloat16*, c10::BFloat16 const*, long, long, long, long, long",13894.8,0.153,2512,memory_bound,0.3367,0.005,0.005,2.054,analytical,False,True,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/kernels/rmsnorm_kernels.cu,hip_cpp,forge;geak,0,,"(16,6144) bf16<br>(16,6144) bf16<br>(6144,) bf16",c10::BFloat16;c10::BFloat16;c10::BFloat16;Scalar,torch_trace,Memory-bound: Use a fused RMSNorm/LayerNorm and fold the residual/quant into the norm kernel.
13,0.1527,k013,aten::mul,Elementwise,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_inte",13869.376,0.1527,2496,memory_bound,0.125,0.0,0.0,0.014,analytical,False,False,,python,,0,source file not resolved,"(16,32) fp32",float;double,torch_trace,Memory-bound: Fuse elementwise chains to cut intermediate memory traffic.
14,0.1309,k014,aiter::gemm_a8w8_blockscale_ck,GEMM,"void ck::kernel_gemm_xdl_cshuffle_v3<ck::GridwiseGemmMultiD_ABScale_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, c",12139.203,0.1336,1296,memory_bound,15.7538,2.024,2.024,17.162,analytical,False,False,/usr/local/lib/python3.12/dist-packages/aiter_meta/csrc/ck_gemm_a8w8_blockscale/gemm_a8w8_blockscale.cu,hip_cpp,,0,source file not resolved,"(16,2048)<br>(6144,2048)<br>(16,16) fp32<br>(48,16) fp32<br>(16,6144) bf16",c10::Float8_e4m3fnuz;c10::Float8_e4m3fnuz;float;float;c10::BFloat16;Scalar;,torch_trace,Memory-bound: Tune GEMM tile size / precision and fuse the epilogue where possible; vendor-library GEMMs (Tensile/rocBLAS) are not rewritable — tune via library config.
15,0.1203,k015,aten::mm,GEMM,Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x256_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_D,11299.649,0.1244,1200,memory_bound,7.511,3.279,3.279,13.427,analytical,False,False,,python,,0,"vendor backend library (precompiled binary, no rewritable source)","(16,6144) fp32<br>(6144,256) fp32",float;float,torch_trace,Memory-bound: Tune GEMM tile size / precision and fuse the epilogue where possible; vendor-library GEMMs (Tensile/rocBLAS) are not rewritable — tune via library config.
