name,param: shape_in1,param: shape_in2,param: dtype_in1_in2_out,param: stride_input1,param: stride_input2,param: stride_output,param: shape_out,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,Roofline Time (µs)_first,Roofline Bound_first,Pct Roofline_mean,Pct Roofline_median,Pct Roofline_std,Pct Roofline_min,Pct Roofline_max,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aiter::dynamic_per_token_scaled_quant,"(393216, 128)","(8192, 48)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(48, 1)","(6144, 1)","(8192, 6144)",0.130547712,145.5,0.8556701030927836,3.732422769875424,3.870705995540359,0.33576974813250904,3.0293754378290334,4.3043747955531675,3.1937225762851575,3.312047398245875,0.28730813499998215,2.5921459931939155,3.683124825060958,Unknown,Unknown,Unknown,vector_bf16,28.78637886792453,MEMORY_BOUND,70.42307112972499,73.03218859510113,6.335278266651119,57.15802712884969,81.21461878402204,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 912, 'total_duration_us': np.float64(37597.656), 'mean_duration_us': np.float64(41.225500000000004), 'median_duration_us': np.float64(39.416), 'std_dev_duration_us': np.float64(3.890137747865546), 'min_duration_us': np.float64(35.445), 'max_duration_us': np.float64(50.363)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(41.23)}]","[[8192, 6144], [393216, 128], [8192, 48], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[6144, 1], [128, 1], [48, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",41.22549331397341,39.416015625,3.8922749664868928,35.44482421875,50.36279296875,37597.64990234375,912,5536325
aiter::dynamic_per_token_scaled_quant,"(6144, 128)","(128, 48)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(48, 1)","(6144, 1)","(128, 6144)",0.002039808,2.2734375,0.8556701030927836,0.42622925085296876,0.42472117059591125,0.014620287100867995,0.3080816467470183,0.5309014632448891,0.36471162701851967,0.3634212078294911,0.012510142570845801,0.26361625443301573,0.4542765097868639,Unknown,Unknown,Unknown,vector_bf16,0.4497871698113208,MEMORY_BOUND,8.04206133684847,8.013606992375685,0.27585447360128235,5.812861259377705,10.017008740469606,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 4077, 'total_duration_us': np.float64(22828.856), 'mean_duration_us': np.float64(5.599425067451557), 'median_duration_us': np.float64(5.613), 'std_dev_duration_us': np.float64(0.18956532928967795), 'min_duration_us': np.float64(4.49), 'max_duration_us': np.float64(7.738)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(5.6)}]","[[128, 6144], [6144, 128], [128, 48], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[6144, 1], [128, 1], [48, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",5.599414996665747,5.61279296875,0.1895552252896899,4.490234375,7.73779296875,22828.81494140625,4077,8013429
aiter::dynamic_per_token_scaled_quant,"(2048, 128)","(128, 16)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(16, 1)","(2048, 1)","(128, 2048)",0.000679936,0.7578125,0.8556701030927835,0.15696891365646998,0.1572965350860236,0.003929852447900494,0.11325700828171759,0.17089047065000526,0.13431360653079388,0.13459394239319544,0.003362657249234447,0.09691063595239752,0.14622586663866427,Unknown,Unknown,Unknown,vector_bf16,0.1499290566037736,MEMORY_BOUND,2.9616776161598106,2.967859152566483,0.07414815939434903,2.136924684560709,3.2243485028302876,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 2106, 'total_duration_us': np.float64(10668.064), 'mean_duration_us': np.float64(5.065557454890788), 'median_duration_us': np.float64(5.052), 'std_dev_duration_us': np.float64(0.12992081295584035), 'min_duration_us': np.float64(4.65), 'max_duration_us': np.float64(7.016)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(5.07)}]","[[128, 2048], [2048, 128], [128, 16], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[2048, 1], [128, 1], [16, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",5.065536803329772,5.0517578125,0.12988889599046094,4.64990234375,7.01611328125,10668.0205078125,2106,8014465
aiter::dynamic_per_token_scaled_quant,"(256, 128)","(128, 2)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(2, 1)","(256, 1)","(128, 256)",8.4992e-05,0.0947265625,0.8556701030927835,0.01956718504696529,0.019511197391137543,0.0004809421939186462,0.013687508006997712,0.02212089430187038,0.01674305524637236,0.016695148283138308,0.0004115278566520374,0.011711991387431031,0.018928187907785995,Unknown,Unknown,Unknown,vector_bf16,0.0187411320754717,MEMORY_BOUND,0.3691921706974583,0.3681357998327838,0.00907438101733295,0.2582548680565606,0.41737536418623356,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 2025, 'total_duration_us': np.float64(10286.056), 'mean_duration_us': np.float64(5.079533827160494), 'median_duration_us': np.float64(5.091), 'std_dev_duration_us': np.float64(0.13333616651219446), 'min_duration_us': np.float64(4.49), 'max_duration_us': np.float64(7.257)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(5.08)}]","[[128, 256], [256, 128], [128, 2], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[256, 1], [128, 1], [2, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",5.07949821566358,5.0908203125,0.13331068198106294,4.490234375,7.2568359375,10285.98388671875,2025,8020123
aiter::dynamic_per_token_scaled_quant,"(131072, 128)","(8192, 16)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(16, 1)","(2048, 1)","(8192, 2048)",0.043515904,48.5,0.8556701030927835,3.654026524789383,3.6658087050542023,0.15721839560101733,3.1868599512881706,4.039754748584284,3.1266412531702965,3.1367229125721527,0.13452708077200437,2.7269007830610117,3.456697362190676,Unknown,Unknown,Unknown,vector_bf16,9.59545962264151,MEMORY_BOUND,68.9438966941393,69.16620198215476,2.9663848226607072,60.129433043173044,76.22178770913743,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 312, 'total_duration_us': np.float64(4350.534), 'mean_duration_us': np.float64(13.94401923076923), 'median_duration_us': np.float64(13.873), 'std_dev_duration_us': np.float64(0.611372515079211), 'min_duration_us': np.float64(12.589), 'max_duration_us': np.float64(15.958)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(13.94)}]","[[8192, 2048], [131072, 128], [8192, 16], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[2048, 1], [128, 1], [16, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",13.944002591646635,13.873046875,0.6123586395204236,12.5888671875,15.9580078125,4350.52880859375,312,5536582
aiter::dynamic_per_token_scaled_quant,"(196608, 128)","(4096, 48)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(48, 1)","(6144, 1)","(4096, 6144)",0.065273856,72.75,0.8556701030927836,3.5427031142114913,3.529731262104335,0.20843310242779553,3.0055682068487877,3.988497201736022,3.0313851389644726,3.0202855129346378,0.17834997424234056,2.571774857406695,3.412837811794741,Unknown,Unknown,Unknown,vector_bf16,14.393189433962265,MEMORY_BOUND,66.84345498512248,66.59870305857237,3.9327000458074637,56.70883409148657,75.25466418369854,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 151, 'total_duration_us': np.float64(3262.795), 'mean_duration_us': np.float64(21.607913907284768), 'median_duration_us': np.float64(21.612), 'std_dev_duration_us': np.float64(1.2857693959679986), 'min_duration_us': np.float64(19.126), 'max_duration_us': np.float64(25.381)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(21.61)}]","[[4096, 6144], [196608, 128], [4096, 48], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[6144, 1], [128, 1], [48, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",21.60789398799669,21.61181640625,1.2900345843225987,19.1259765625,25.380859375,3262.7919921875,151,4961978
aiter::dynamic_per_token_scaled_quant,"(16384, 128)","(8192, 2)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(2, 1)","(256, 1)","(8192, 256)",0.005439488,6.0625,0.8556701030927835,1.2347953227353379,1.2387364049476688,0.041417081944619294,1.1166583425679732,1.3668367050918635,1.0565774411034332,1.0599497073263557,0.035439358777354636,0.9554911591045545,1.1695613043569553,Unknown,Unknown,Unknown,vector_bf16,1.1994324528301887,MEMORY_BOUND,23.298024957270524,23.37238499901262,0.781454376313572,21.069025331471195,25.789371794186106,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 300, 'total_duration_us': np.float64(1546.2179999999998), 'mean_duration_us': np.float64(5.154059999999999), 'median_duration_us': np.float64(5.132), 'std_dev_duration_us': np.float64(0.173706907557913), 'min_duration_us': np.float64(4.651), 'max_duration_us': np.float64(5.693)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(5.15)}]","[[8192, 256], [16384, 128], [8192, 2], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[256, 1], [128, 1], [2, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",5.154025065104166,5.1318359375,0.1740083320623469,4.65087890625,5.69287109375,1546.20751953125,300,5537523
aiter::dynamic_per_token_scaled_quant,"(65536, 128)","(4096, 16)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(16, 1)","(2048, 1)","(4096, 2048)",0.021757952,24.25,0.8556701030927835,3.1558187021885966,3.1709479671192837,0.11055646903995688,2.7936526186363393,3.40948529946314,2.7003397142438503,2.71328537392681,0.09459986526099387,2.3904450241939807,2.917394637684955,Unknown,Unknown,Unknown,vector_bf16,4.797729811320755,MEMORY_BOUND,59.54374909789805,59.829206926778944,2.085971113961452,52.71042676672339,64.32991131062529,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(629.264), 'mean_duration_us': np.float64(8.067487179487179), 'median_duration_us': np.float64(8.019), 'std_dev_duration_us': np.float64(0.2869172910211521), 'min_duration_us': np.float64(7.458), 'max_duration_us': np.float64(9.102)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(8.07)}]","[[4096, 2048], [65536, 128], [4096, 16], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[2048, 1], [128, 1], [16, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",8.067457932692308,8.01904296875,0.28877860899797925,7.4580078125,9.10205078125,629.26171875,78,4962212
aiter::dynamic_per_token_scaled_quant,"(8192, 128)","(4096, 2)","('c10::BFloat16', 'float', 'c10::Float8_e4m3fnuz')","(128, 1)","(2, 1)","(256, 1)","(4096, 256)",0.002719744,3.03125,0.8556701030927835,0.5787146206137108,0.5786275384888889,0.017545993976665248,0.5430516232585301,0.6243583165164014,0.49518879908183505,0.49511428551111114,0.015013582474878495,0.46467303845832986,0.5342447450604259,Unknown,Unknown,Unknown,vector_bf16,0.5997162264150944,MEMORY_BOUND,10.919143785164357,10.91750072620545,0.3310564901257594,10.246257042613776,11.780345594649082,"[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32ELi128ELb0ELi64ELb0EEEvPT0_PfPKT_PKfliilPKii', 'stream': 4, 'count': 75, 'total_duration_us': np.float64(412.29299999999995), 'mean_duration_us': np.float64(5.49724), 'median_duration_us': np.float64(5.493), 'std_dev_duration_us': np.float64(0.16379082921010357), 'min_duration_us': np.float64(5.091), 'max_duration_us': np.float64(5.853)}]","[{'name': '_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EL...', 'stream': 4, 'mean_duration_us': np.float64(5.5)}]","[[4096, 256], [8192, 128], [4096, 2], [], [], [], []]","['c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', '', 'Scalar', '', 'Scalar']","[[256, 1], [128, 1], [2, 1], [], [], [], []]","['', '', '', '', 'False', '', '1']",5.497265625,5.4931640625,0.1648692910035893,5.0908203125,5.85302734375,412.294921875,75,4963049
aten::add,"(125,)","(125,)","('int', 'int', None)","(1,)","(1,)",,,1.25e-07,0.001430511474609375,0.08333333333333333,0.00030385574510980384,0.0003029635330394112,1.0181260799840868e-05,0.0002878021360314784,0.0003225874199306941,2.532131209248365e-05,2.5246961086617593e-05,8.484383999867393e-07,2.3983511335956528e-05,2.6882284994224503e-05,Unknown,Unknown,Unknown,,,,,,,,,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>)', 'stream': 4, 'count': 26, 'total_duration_us': np.float64(128.487), 'mean_duration_us': np.float64(4.941807692307692), 'median_duration_us': np.float64(4.9510000000000005), 'std_dev_duration_us': np.float64(0.16039447027461567), 'min_duration_us': np.float64(4.65), 'max_duration_us': np.float64(5.212)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 4, 'mean_duration_us': np.float64(4.94)}]","[[125], [125], [], [125]]","['int', 'int', 'Scalar', 'int']","[[1], [1], [], [1]]","['', '', '1', '']",2.4709097055288463,2.324951171875,2.497643134607706,0.0,5.2119140625,128.4873046875,52,20
