name,param: op_shape,param: dtype_in_out,param: stride_input,param: stride_output,param: num_channels,param: has_bias,param: is_affine,param: is_training,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,Roofline Time (µs)_first,Roofline Bound_first,Pct Roofline_mean,Pct Roofline_median,Pct Roofline_std,Pct Roofline_min,Pct Roofline_max,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aiter::add_rmsnorm,"(8192, 6144)","('c10::BFloat16', None)","(6144, 1)",,6144,False,True,False,0.251674624,384.01171875,0.6250216159581719,4.551776919285465,4.5728768176026,0.10701290375464108,3.44379854280011,4.795643676762038,2.8449589655729106,2.858146858115639,0.06688537803310239,2.1524485302553225,2.9973809604093975,Unknown,Unknown,Unknown,vector_bf16,75.97461735849058,MEMORY_BOUND,85.88258338274464,86.28069467174717,2.019111391597005,64.9773309962285,90.48384295777431,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 612, 'total_duration_us': np.float64(54173.206000000006), 'mean_duration_us': np.float64(88.51831045751635), 'median_duration_us': np.float64(88.055), 'std_dev_duration_us': np.float64(2.3557164719945796), 'min_duration_us': np.float64(83.965), 'max_duration_us': np.float64(116.925)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0...', 'stream': 4, 'mean_duration_us': np.float64(88.52)}]","[[8192, 6144], [8192, 6144], [8192, 6144], [8192, 6144], [6144], [], []]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[6144, 1], [6144, 1], [6144, 1], [6144, 1], [1], [], []]","['', '', '', '', '', '1.0000000000000001e-05', 'False']",88.51830496195875,88.05517578125,2.3576407488603635,83.96484375,116.9248046875,54173.20263671875,612,5536614
vllm::rocm_aiter_rmsnorm_fp8_group_quant,"(128, 2048)","('c10::BFloat16', None)","(2624, 1)",,2048,False,True,False,0.00157312,0.76171875,1.9695512820512822,0.14381539566937063,0.14030178917574407,0.008791196943293578,0.10113005007727977,0.18793411764705883,0.2832517969193213,0.2763315687451754,0.01731471321042918,0.1991808197836167,0.37014588235294116,Unknown,Unknown,Unknown,vector_bf16,0.15070188679245283,MEMORY_BOUND,2.7134980314975587,2.6472035693536613,0.16587164043950153,1.908114152401505,3.5459267480577137,"[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'count': 4212, 'total_duration_us': np.float64(23476.251), 'mean_duration_us': np.float64(5.573658831908832), 'median_duration_us': np.float64(5.693), 'std_dev_duration_us': np.float64(0.32542046537264047), 'min_duration_us': np.float64(4.25), 'max_duration_us': np.float64(7.898)}]","[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'mean_duration_us': np.float64(5.57)}]","[[128, 2048], [2048], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '128']",5.573625323666014,5.69287109375,0.3254656517850216,4.25,7.89794921875,23476.10986328125,4212,8013558
vllm::rocm_aiter_rmsnorm_fp8_group_quant,"(8192, 2048)","('c10::BFloat16', None)","(2624, 1)",,2048,False,True,False,0.10067968,48.50390625,1.9795441733107837,2.9202133391228298,2.9226786816689585,0.12988798364612433,2.496915944385847,3.3558215643545215,5.780691300285025,5.785571554757429,0.25711900120977177,4.9427554089557955,6.642997024388672,Unknown,Unknown,Unknown,vector_bf16,9.596232452830188,MEMORY_BOUND,55.09836488911,55.14488078620675,2.4507166725683844,47.11162159218579,63.31738800668909,"[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'count': 624, 'total_duration_us': np.float64(10889.59), 'mean_duration_us': np.float64(17.451266025641026), 'median_duration_us': np.float64(17.402), 'std_dev_duration_us': np.float64(0.7830686000827044), 'min_duration_us': np.float64(15.156), 'max_duration_us': np.float64(20.369)}]","[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'mean_duration_us': np.float64(17.45)}]","[[8192, 2048], [2048], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '128']",17.451264210236378,17.40185546875,0.7836971109831582,15.15576171875,20.369140625,10889.5888671875,624,5536330
aiter::rms_norm,"(128, 512)","('c10::BFloat16', None)","(2624, 1)",,512,False,True,False,0.0002624,0.2509765625,0.9970817120622568,0.05711330619475281,0.057088027115771635,0.002018405764540176,0.03772436928676419,0.06838828372034005,0.056946633122200024,0.056921427814850115,0.0020125154753440487,0.037614278714915655,0.06818870701687602,Unknown,Unknown,Unknown,vector_bf16,0.049654339622641507,MEMORY_BOUND,1.0776095508443926,1.0771325870900308,0.03808312763283347,0.7117805525804564,1.2903449758554726,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 2106, 'total_duration_us': np.float64(9716.332), 'mean_duration_us': np.float64(4.613642924976259), 'median_duration_us': np.float64(4.61), 'std_dev_duration_us': np.float64(0.16511063297198447), 'min_duration_us': np.float64(3.848), 'max_duration_us': np.float64(6.976)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0EL...', 'stream': 4, 'mean_duration_us': np.float64(4.61)}]","[[128, 512], [512], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '0']",4.613613262701804,4.60986328125,0.1651384883278284,3.84814453125,6.97607421875,9716.26953125,2106,8014259
aiter::rmsnorm,"(128, 512)","('c10::BFloat16', None)","(2624, 1)",,512,False,True,False,0.0002624,0.2509765625,0.9970817120622568,0.05711330619475281,0.057088027115771635,0.002018405764540176,0.03772436928676419,0.06838828372034005,0.056946633122200024,0.056921427814850115,0.0020125154753440487,0.037614278714915655,0.06818870701687602,Unknown,Unknown,Unknown,vector_bf16,0.049654339622641507,MEMORY_BOUND,1.0776095508443926,1.0771325870900308,0.03808312763283347,0.7117805525804564,1.2903449758554726,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 2106, 'total_duration_us': np.float64(9716.332), 'mean_duration_us': np.float64(4.613642924976259), 'median_duration_us': np.float64(4.61), 'std_dev_duration_us': np.float64(0.16511063297198447), 'min_duration_us': np.float64(3.848), 'max_duration_us': np.float64(6.976)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0EL...', 'stream': 4, 'mean_duration_us': np.float64(4.61)}]","[[128, 512], [128, 512], [512], [], []]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[512, 1], [2624, 1], [1], [], []]","['', '', '', '1.0000000000000001e-05', 'False']",4.613613262701804,4.60986328125,0.1651384883278284,3.84814453125,6.97607421875,9716.26953125,2106,8014275
aiter::rms_norm,"(8192, 512)","('c10::BFloat16', None)","(2624, 1)",,512,False,True,False,0.0167936,16.0009765625,1.000915471467806,1.7995167599123063,1.7807750580431179,0.09365999764318524,1.621988931791362,2.2499892299633317,1.8011641661618445,1.7824053067993364,0.09374574069870233,1.6234738163795137,2.252049030906233,Unknown,Unknown,Unknown,vector_bf16,3.1657056603773586,MEMORY_BOUND,33.95314641343975,33.59952939703996,1.7671697668525514,30.60356475078041,42.45262698044022,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 312, 'total_duration_us': np.float64(2916.147), 'mean_duration_us': np.float64(9.346625), 'median_duration_us': np.float64(9.422), 'std_dev_duration_us': np.float64(0.4422126153735472), 'min_duration_us': np.float64(7.457), 'max_duration_us': np.float64(10.344)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0EL...', 'stream': 4, 'mean_duration_us': np.float64(9.35)}]","[[8192, 512], [512], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '0']",9.346620217347757,9.421875,0.44292699387158174,7.45703125,10.34423828125,2916.1455078125,312,5536360
aiter::rmsnorm,"(8192, 512)","('c10::BFloat16', None)","(2624, 1)",,512,False,True,False,0.0167936,16.0009765625,1.000915471467806,1.7995167599123063,1.7807750580431179,0.09365999764318524,1.621988931791362,2.2499892299633317,1.8011641661618445,1.7824053067993364,0.09374574069870233,1.6234738163795137,2.252049030906233,Unknown,Unknown,Unknown,vector_bf16,3.1657056603773586,MEMORY_BOUND,33.95314641343975,33.59952939703996,1.7671697668525514,30.60356475078041,42.45262698044022,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 312, 'total_duration_us': np.float64(2916.147), 'mean_duration_us': np.float64(9.346625), 'median_duration_us': np.float64(9.422), 'std_dev_duration_us': np.float64(0.4422126153735472), 'min_duration_us': np.float64(7.457), 'max_duration_us': np.float64(10.344)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0EL...', 'stream': 4, 'mean_duration_us': np.float64(9.35)}]","[[8192, 512], [8192, 512], [512], [], []]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[512, 1], [2624, 1], [1], [], []]","['', '', '', '1.0000000000000001e-05', 'False']",9.346620217347757,9.421875,0.44292699387158174,7.45703125,10.34423828125,2916.1455078125,312,5536363
vllm::rocm_aiter_rmsnorm_fp8_group_quant,"(4096, 2048)","('c10::BFloat16', None)","(2624, 1)",,2048,False,True,False,0.05033984,24.25390625,1.9793847640521822,2.682054670481505,2.6820333698673258,0.15092523518019965,2.2652488614795807,3.064536777594728,5.3088181511060855,5.308775988994915,0.29873911102667955,4.4837990831992345,6.065897406448576,Unknown,Unknown,Unknown,vector_bf16,4.798502641509434,MEMORY_BOUND,50.60480510342461,50.60440320504388,2.8476459467962187,42.74054455621851,57.82144863386279,"[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'count': 156, 'total_duration_us': np.float64(1483.924), 'mean_duration_us': np.float64(9.512333333333332), 'median_duration_us': np.float64(9.4825), 'std_dev_duration_us': np.float64(0.536538063903293), 'min_duration_us': np.float64(8.299), 'max_duration_us': np.float64(11.227)}]","[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'mean_duration_us': np.float64(9.51)}]","[[4096, 2048], [2048], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '128']",9.512319711538462,9.482421875,0.5382713010722984,8.298828125,11.22705078125,1483.921875,156,4961983
vllm::rocm_aiter_rmsnorm_with_add_fp8_group_quant,"(8192, 6144)","('c10::BFloat16', None)","(6144, 1)",,6144,False,True,False,0.35233792,337.51171875,0.9955672835433955,3.341479522564897,3.3843674575627265,0.15268441321657328,3.0351160864471014,3.4927133888337396,3.3266676912958175,3.3693655162383918,0.15200760650544115,3.0216622774230024,3.4772311807168537,Unknown,Unknown,Unknown,vector_bf16,66.77484679245283,MEMORY_BOUND,63.04678344462071,63.85598976533446,2.8808379852183625,57.26634125371889,65.90025261950453,"[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'count': 12, 'total_duration_us': np.float64(1273.509), 'mean_duration_us': np.float64(106.12575), 'median_duration_us': np.float64(104.5755), 'std_dev_duration_us': np.float64(4.8635846026876095), 'min_duration_us': np.float64(101.327), 'max_duration_us': np.float64(116.604)}]","[{'name': '_fused_rms_fp8_group_quant_kernel', 'stream': 4, 'mean_duration_us': np.float64(106.13)}]","[[8192, 6144], [8192, 6144], [6144], [], []]","['c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[6144, 1], [6144, 1], [1], [], []]","['', '', '', '1.0000000000000001e-05', '128']",106.12577311197917,104.575439453125,5.07982804113484,101.3271484375,116.60400390625,1273.50927734375,12,5536590
aiter::rms_norm,"(4096, 512)","('c10::BFloat16', None)","(2624, 1)",,512,False,True,False,0.0083968,8.0009765625,1.000854387892103,1.3952995012495895,1.399767722236132,0.06167070735921193,1.245701902124266,1.5501593590761455,1.3964916282493145,1.400963666829767,0.06172339806487711,1.2467662147466105,1.5514837964633703,Unknown,Unknown,Unknown,vector_bf16,1.582949433962264,MEMORY_BOUND,26.32640568395452,26.41071174030438,1.1635982520606039,23.503809474042754,29.248289793889544,"[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(469.914), 'mean_duration_us': np.float64(6.024538461538461), 'median_duration_us': np.float64(5.9935), 'std_dev_duration_us': np.float64(0.2688155736248817), 'min_duration_us': np.float64(5.412), 'max_duration_us': np.float64(6.735)}]","[{'name': '_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0EL...', 'stream': 4, 'mean_duration_us': np.float64(6.02)}]","[[4096, 512], [512], [], []]","['c10::BFloat16', 'c10::BFloat16', 'Scalar', 'Scalar']","[[2624, 1], [1], [], []]","['', '', '1.0000000000000001e-05', '0']",6.024564302884615,5.99365234375,0.2705520413609064,5.412109375,6.73486328125,469.916015625,78,4962013
