name,param: num_input_elems,param: num_output_elems,param: dtype_in_out,param: reduce_type,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::cumsum,125,125,"('int', None)",sum,1.25e-07,0.00095367431640625,0.125,0.0002010161138335867,0.0001995517879762253,7.814780530984708e-06,0.00018614797309580077,0.00021882679773480075,2.5127014229198334e-05,2.4943973497028156e-05,9.76847566373088e-07,2.3268496636975093e-05,2.735334971685009e-05,Unknown,Unknown,Unknown,,"[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2})', 'stream': 4, 'count': 26, 'total_duration_us': np.float64(129.53), 'mean_duration_us': np.float64(4.981923076923077), 'median_duration_us': np.float64(5.011), 'std_dev_duration_us': np.float64(0.188323560166033), 'min_duration_us': np.float64(4.57), 'max_duration_us': np.float64(5.372)}]","[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocpr...', 'stream': 4, 'mean_duration_us': np.float64(4.98)}]","[[125], [], [], [125]]","['int', 'Scalar', '', 'int']","[[1], [], [], [1]]","['', '0', '', '']",4.981896033653846,5.01123046875,0.19203271220989307,4.56982421875,5.3720703125,129.529296875,26,191
aten::cumsum,1,1,"('int', None)",sum,1e-09,7.62939453125e-06,0.125,1.60929385173002e-06,1.6156448978372166e-06,6.987787191957483e-08,1.4891837847664061e-06,1.7354093845990891e-06,2.011617314662525e-07,2.0195561222965208e-07,8.734733989946854e-09,1.8614797309580076e-07,2.1692617307488614e-07,Unknown,Unknown,Unknown,,"[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2})', 'stream': 4, 'count': 22, 'total_duration_us': np.float64(109.56300000000002), 'mean_duration_us': np.float64(4.9801363636363645), 'median_duration_us': np.float64(4.9515), 'std_dev_duration_us': np.float64(0.2126388948117837), 'min_duration_us': np.float64(4.61), 'max_duration_us': np.float64(5.372)}]","[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocpr...', 'stream': 4, 'mean_duration_us': np.float64(4.98)}]","[[1], [], [], [1]]","['int', 'Scalar', '', 'int']","[[1], [], [], [1]]","['', '0', '', '']",4.980135830965909,4.95166015625,0.2176291567812507,4.60986328125,5.3720703125,109.56298828125,22,4961735
aten::cumsum,8192,8192,"('int', None)",sum,8.192e-06,0.0625,0.125,0.005242625963880184,0.0051020322452979775,0.000491331540578373,0.00482207832147733,0.005944361043447452,0.000655328245485023,0.0006377540306622472,6.141644257229662e-05,0.0006027597901846662,0.0007430451304309315,Unknown,Unknown,Unknown,,"[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::init_lookback_scan_state_kernel<rocprim::ROCPRIM_400200_NS::detail::lookback_scan_state<int, false, true>, rocprim::ROCPRIM_400200_NS::detail::block_id_wrapper<unsigned int, true> >(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_state<int, false, true>, unsigned int, rocprim::ROCPRIM_400200_NS::detail::block_id_wrapper<unsigned int, true>, unsigned int, rocprim::ROCPRIM_400200_NS::detail::lookback_scan_state<int, false, true>::value_type*)', 'stream': 4, 'count': 4, 'total_duration_us': np.float64(21.528), 'mean_duration_us': np.float64(5.382), 'median_duration_us': np.float64(5.452500000000001), 'std_dev_duration_us': np.float64(0.40553853084509756), 'min_duration_us': np.float64(4.77), 'max_duration_us': np.float64(5.853)}, {'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#1}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#1})', 'stream': 4, 'count': 4, 'total_duration_us': np.float64(28.786), 'mean_duration_us': np.float64(7.1965), 'median_duration_us': np.float64(7.3965), 'std_dev_duration_us': np.float64(0.5627976990002715), 'min_duration_us': np.float64(6.255), 'max_duration_us': np.float64(7.738)}]","[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::init_lookback_scan_stat...', 'stream': 4, 'mean_duration_us': np.float64(5.38)}, {'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocpr...', 'stream': 4, 'mean_duration_us': np.float64(7.2)}]","[[8192], [], [], [8192]]","['int', 'Scalar', '', 'int']","[[1], [], [], [1]]","['', '0', '', '']",12.578369140625,12.848876953125,1.107896024911714,11.02490234375,13.5908203125,50.3134765625,4,5536257
aten::cumsum,4096,4096,"('int', None)",sum,4.096e-06,0.03125,0.125,0.006385239200761179,0.006385239200761179,,0.006385239200761179,0.006385239200761179,0.0007981549000951474,0.0007981549000951474,,0.0007981549000951474,0.0007981549000951474,Unknown,Unknown,Unknown,,"[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2})', 'stream': 4, 'count': 1, 'total_duration_us': np.float64(5.132), 'mean_duration_us': np.float64(5.132), 'median_duration_us': np.float64(5.132), 'std_dev_duration_us': np.float64(0.0), 'min_duration_us': np.float64(5.132), 'max_duration_us': np.float64(5.132)}]","[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocpr...', 'stream': 4, 'mean_duration_us': np.float64(5.13)}]","[[4096], [], [], [4096]]","['int', 'Scalar', '', 'int']","[[1], [], [], [1]]","['', '0', '', '']",5.1318359375,5.1318359375,,5.1318359375,5.1318359375,5.1318359375,1,4961918
aten::cumsum,124,124,"('int', None)",sum,1.24e-07,0.000946044921875,0.125,0.0001979553736724155,0.0001979553736724155,,0.0001979553736724155,0.0001979553736724155,2.4744421709051938e-05,2.4744421709051938e-05,,2.4744421709051938e-05,2.4744421709051938e-05,Unknown,Unknown,Unknown,,"[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2})', 'stream': 4, 'count': 1, 'total_duration_us': np.float64(5.011), 'mean_duration_us': np.float64(5.011), 'median_duration_us': np.float64(5.011), 'std_dev_duration_us': np.float64(0.0), 'min_duration_us': np.float64(5.011), 'max_duration_us': np.float64(5.011)}]","[{'name': 'void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocpr...', 'stream': 4, 'mean_duration_us': np.float64(5.01)}]","[[124], [], [], [124]]","['int', 'Scalar', '', 'int']","[[1], [], [], [1]]","['', '0', '', '']",5.01123046875,5.01123046875,,5.01123046875,5.01123046875,5.01123046875,1,4777801
aten::max,125,1,"('int', None)",max,1.25e-07,0.00048065185546875,0.24801587301587302,,,,,,,,,,,Unknown,Unknown,Unknown,,[],,[[125]],['int'],[[1]],[''],0.0,0.0,0.0,0.0,0.0,0.0,26,156
aten::min,125,1,"('int', None)",min,1.25e-07,0.00048065185546875,0.24801587301587302,,,,,,,,,,,Unknown,Unknown,Unknown,,[],,[[125]],['int'],[[1]],[''],0.0,0.0,0.0,0.0,0.0,0.0,26,165
aten::max,124,1,"('int', None)",max,1.24e-07,0.000476837158203125,0.248,,,,,,,,,,,Unknown,Unknown,Unknown,,[],,[[124]],['int'],[[1]],[''],0.0,0.0,,0.0,0.0,0.0,1,4777760
aten::min,124,1,"('int', None)",min,1.24e-07,0.000476837158203125,0.248,,,,,,,,,,,Unknown,Unknown,Unknown,,[],,[[124]],['int'],[[1]],[''],0.0,0.0,,0.0,0.0,0.0,1,4777769
aten::sum,1,1,"('int', None)",sum,1e-09,7.62939453125e-06,0.125,,,,,,,,,,,Unknown,Unknown,Unknown,,[],,"[[1], []]","['int', '']","[[1], []]","['', '']",0.0,0.0,0.0,0.0,0.0,0.0,44,4961713
