name,total_direct_kernel_time_sum,total_subtree_kernel_time_sum,total_subtree_kernel_time_count,total_direct_kernel_time_ms,Count,Categories,Percentage (%),Cumulative Percentage (%)
vllm::rocm_aiter_fused_allreduce_rmsnorm,4008243.1118164062,4008243.1118164062,2128,4008.2431118164063,2128,['other'],40.02419925207091,40.02419925207091
vllm::rocm_aiter_sparse_attn_indexer,1849329.462890625,2149926.7885742188,2496,1849.329462890625,2496,['other'],18.46642751964142,58.49062677171233
aiter::fmoe_fp8_blockscale_g1u1,1219150.8559570312,1219150.8559570312,2400,1219.1508559570314,2400,['MoE_fused'],12.173796702427179,70.66442347413951
aiter::mla_decode_stage1_asm_fwd,615802.01171875,615802.01171875,2496,615.80201171875,2496,['other'],6.14907372863622,76.81349720277574
aiter::gemm_a8w8_blockscale_ck,584961.1684570312,584961.1684570312,14976,584.9611684570312,14976,['GEMM'],5.841113352637585,82.65461055541331
aiter::fused_allreduce_rmsnorm_quant_per_group,493615.66943359375,493615.66943359375,2240,493.6156694335937,2240,['other'],4.928985432323611,87.58359598773693
_C::top_k_per_row_prefill,172742.2880859375,172742.2880859375,1716,172.7422880859375,1716,['other'],1.7249132761503214,89.30850926388725
vllm::unified_mla_attention_with_output,164196.88671875,881313.5004882812,2496,164.19688671875,2496,['other'],1.6395834103043752,90.94809267419161
aten::mm,152479.38720703125,152479.38720703125,4928,152.47938720703124,4928,['GEMM'],1.522578647342144,92.47067132153376
aten::copy_,101882.53759765625,101882.53759765625,5415,101.88253759765625,5415,['elementwise'],1.01734522367015,93.4880165452039
aiter::dynamic_per_token_scaled_quant,91581.55419921875,91581.55419921875,10036,91.58155419921874,10036,['GroupQuant'],0.914485042655705,94.4025015878596
_C::top_k_per_row_decode,67565.94287109375,67565.94287109375,2496,67.56594287109375,2496,['other'],0.6746778288358879,95.07717941669549
aten::fill_,61018.82666015625,61018.82666015625,6855,61.01882666015625,6855,['elementwise'],0.6093017834107699,95.68648120010626
triton_poi_fused_2,55358.9248046875,55358.9248046875,2484,55.3589248046875,2484,['triton'],0.5527849920657983,96.23926619217205
aiter::add_rmsnorm,54336.0927734375,54336.0927734375,640,54.3360927734375,640,['RMSNorm'],0.5425715314851605,96.78183772365722
aiter::moe_sorting_opus_fwd,41071.9794921875,41071.9794921875,2400,41.0719794921875,2400,['MoE_aux'],0.4101231000749684,97.19196082373219
